year,name,data
2019,DP05_0001E,328239523
2018,DP05_0001E,327167439
2017,DP05_0001E,325719178
2016,DP05_0001E,323127515
2015,DP05_0001E,321418821
2014,DP05_0001E,318857056
2013,DP05_0001E,316128839
2012,DP05_0001E,313914040
2011,DP05_0001E,311591919
2010,DP05_0001E,309349689
2019,DP05_0085E,7990489
2018,DP05_0085E,7981905
2017,DP05_0085E,7611297
2019,DP05_0086E,139686209
2018,DP05_0086E,138539906
2017,DP05_0086E,137407308
2019,DP05_0087E,235418734
2018,DP05_0087E,233565291
2017,DP05_0087E,231416670
2019,DP05_0088E,114206194
2018,DP05_0088E,113302012
2017,DP05_0088E,112252888
2019,DP05_0089E,121212540
2018,DP05_0089E,120263279
2017,DP05_0089E,119163782
2019,DP05_0004E,97.0
2018,DP05_0004E,97.0
2017,DP05_0004E,97.0
2016,DP05_0004E,19798554
2015,DP05_0004E,19793807
2014,DP05_0004E,19773010
2013,DP05_0004E,19770079
2012,DP05_0004E,19910326
2011,DP05_0004E,20067828
2010,DP05_0004E,20133943
2019,DP05_0005E,19404835
2018,DP05_0005E,19646315
2017,DP05_0005E,19795159
2016,DP05_0005E,20483110
2015,DP05_0005E,20582473
2014,DP05_0005E,20563575
2013,DP05_0005E,20606012
2012,DP05_0005E,20480578
2011,DP05_0005E,20376779
2010,DP05_0005E,20391459
2019,DP05_0006E,19690437
2018,DP05_0006E,19805900
2017,DP05_0006E,20095947
2016,DP05_0006E,20705797
2015,DP05_0006E,20627389
2014,DP05_0006E,20749801
2013,DP05_0006E,20735582
2012,DP05_0006E,20777987
2011,DP05_0006E,20754531
2010,DP05_0006E,20768341
2019,DP05_0007E,21423479
2018,DP05_0007E,21392922
2017,DP05_0007E,21130768
2016,DP05_0007E,21491901
2015,DP05_0007E,21426912
2014,DP05_0007E,21347017
2013,DP05_0007E,21386643
2012,DP05_0007E,21550469
2011,DP05_0007E,21822474
2010,DP05_0007E,22104183
2019,DP05_0008E,21353524
2018,DP05_0008E,21445493
2017,DP05_0008E,21497166
2016,DP05_0008E,22172673
2015,DP05_0008E,22541077
2014,DP05_0008E,22698029
2013,DP05_0008E,22719908
2012,DP05_0008E,22463182
2011,DP05_0008E,22098637
2010,DP05_0008E,21662830
2019,DP05_0009E,21468680
2018,DP05_0009E,21717962
2017,DP05_0009E,21950055
2016,DP05_0009E,44390248
2015,DP05_0009E,43897832
2014,DP05_0009E,43323099
2013,DP05_0009E,42626555
2012,DP05_0009E,42100846
2011,DP05_0009E,41540346
2010,DP05_0009E,40972083
2019,DP05_0010E,45578475
2018,DP05_0010E,45344674
2017,DP05_0010E,44965735
2016,DP05_0010E,40655592
2015,DP05_0010E,40804130
2014,DP05_0010E,40751359
2013,DP05_0010E,40608235
2012,DP05_0010E,40698086
2011,DP05_0010E,40827710
2010,DP05_0010E,41192328
2019,DP05_0011E,41914845
2018,DP05_0011E,41498453
2017,DP05_0011E,41117905
2016,DP05_0011E,42755590
2015,DP05_0011E,43135580
2014,DP05_0011E,43353277
2013,DP05_0011E,43674983
2012,DP05_0011E,44204952
2011,DP05_0011E,44653387
2010,DP05_0011E,44929033
2019,DP05_0012E,40863107
2018,DP05_0012E,41605244
2017,DP05_0012E,42330955
2016,DP05_0012E,21714703
2015,DP05_0012E,21590716
2014,DP05_0012E,21314688
2013,DP05_0012E,21108252
2012,DP05_0012E,20622207
2011,DP05_0012E,20174311
2010,DP05_0012E,19682686
2019,DP05_0013E,21484060
2018,DP05_0013E,21624541
2017,DP05_0013E,21765184
2016,DP05_0013E,19744182
2015,DP05_0013E,19286425
2014,DP05_0013E,18768308
2013,DP05_0013E,18228600
2012,DP05_0013E,17964930
2011,DP05_0013E,17890890
2010,DP05_0013E,17079278
2019,DP05_0014E,20984053
2018,DP05_0014E,20662821
2017,DP05_0014E,20254592
